VU1234L	MEDELLIN    BOGOTA	LUNES	8:00	10	130
VU3137V	CARTAGENA	MEDELLIN	VIERNES	13:30	10	130
VU3138V	CARTAGENA	MEDELLIN	VIERNES	14:45	10	130
VU3139V	CARTAGENA	MEDELLIN	VIERNES	15:50	10	130
VU3140V	CARTAGENA	MEDELLIN	VIERNES	18:05	10	130
VU3134S	CARTAGENA	MEDELLIN	SABADO	8:20	10	130
VU3135S	CARTAGENA	MEDELLIN	SABADO	9:30	10	130
VU3136S	CARTAGENA	MEDELLIN	SABADO	11:30	10	130
VU3137S	CARTAGENA	MEDELLIN	SABADO	13:30	10	130
VU3138S	CARTAGENA	MEDELLIN	SABADO	14:45	10	130
VU3139S	CARTAGENA	MEDELLIN	SABADO	15:50	10	130
VU3140S	CARTAGENA	MEDELLIN	SABADO	18:05	10	130
VU3134D	CARTAGENA	MEDELLIN	DOMINGO	8:20	10	130
VU3135D	CARTAGENA	MEDELLIN	DOMINGO	11:30	10	130
VU3136D	CARTAGENA	MEDELLIN	DOMINGO	14:45	10	130
VU3137D	CARTAGENA	MEDELLIN	DOMINGO	18:05	10	130
